ltable_id,rtable_id,label
2563,6425,0
1861,64163,1
2187,64008,1
611,15632,0
631,27684,0
2454,7504,0
1834,45355,0
283,25847,0
1105,60693,0
1480,45262,1
1012,631,0
2076,1563,0
944,63682,1
19,6179,0
95,5659,0
794,20719,0
990,12798,0
1082,25283,1
2161,932,0
2455,31743,0
909,38317,1
1219,41899,0
19,57159,0
1656,45351,1
1187,4546,1
558,2895,0
665,3408,0
1207,1852,0
1953,42525,0
171,1241,1
612,5130,0
1612,21786,0
2281,2887,0
1399,29840,0
1829,13738,0
2001,45908,0
86,48634,1
2212,57630,0
1640,11823,0
1342,2113,0
528,43088,0
1920,1560,0
2506,52821,0
2151,35798,0
1637,1596,0
563,59808,0
254,6397,0
2272,6326,0
1326,23335,0
2342,35760,0
874,24044,0
1872,44931,0
1842,12676,0
933,59279,0
1884,53983,1
1131,49781,0
1922,57406,0
1742,36645,1
280,25877,0
580,339,0
584,43284,1
2483,10507,0
207,3882,0
2330,7916,0
1419,58713,0
1365,18229,0
42,2235,0
659,17331,0
1190,53516,1
1913,31541,0
1701,26265,0
797,52892,0
6,42009,0
2481,53218,1
1407,3251,0
1712,63795,0
1442,54315,0
606,34045,0
1407,37260,0
1611,38141,0
563,40722,0
1944,26880,0
1152,21028,0
1970,29564,1
2232,16106,0
2437,45096,0
1840,43474,0
1633,33625,0
352,50155,0
176,15535,0
2220,8129,0
2030,18418,1
713,31328,0
2125,6343,0
140,52025,0
1841,26355,0
2483,14876,0
950,63151,0
1965,26315,0
1524,49333,1
1272,36669,0
563,43933,0
1703,13262,0
95,7046,0
1749,14336,0
203,51065,0
175,28116,0
670,37765,0
2310,51126,0
2396,17331,0
1368,47099,0
2497,10451,1
716,59482,0
532,3765,1
713,19205,0
595,42343,0
2538,1869,0
612,8771,0
2538,16881,0
2455,6596,0
1651,18695,1
674,31393,1
2385,32585,0
2142,8018,0
19,51361,0
270,11014,0
1949,47930,0
1660,39229,1
1969,57383,0
703,47913,0
1159,51185,0
2538,13096,1
1498,46299,1
336,31743,0
570,50379,0
1925,59481,0
2539,10256,0
148,38562,1
1518,27863,0
1684,5867,0
574,44982,0
1788,35588,0
809,64166,0
1395,21960,0
151,31322,0
2166,28650,0
936,1410,0
2284,63486,0
2295,33577,1
604,46596,0
1316,54028,0
19,23531,0
2564,24092,0
555,2561,0
1219,6317,0
527,38561,0
1313,42426,0
1981,19860,0
2498,57461,0
329,31216,0
590,51553,1
1330,54210,1
1391,18656,0
2400,61690,0
2553,60423,0
1552,40839,0
184,409,0
1165,44881,1
1515,35132,1
1244,61006,0
1792,29184,0
1341,53417,0
2113,25084,0
832,2186,0
1859,59825,0
1418,60458,0
2538,19045,0
322,18795,0
2314,29635,0
304,17108,1
1342,10867,1
2420,47649,0
936,19226,0
2272,46640,0
1662,31411,1
1342,43833,0
299,48430,0
1916,23614,0
1213,20848,0
1310,50323,1
270,39339,0
1749,58166,0
687,21945,0
464,50248,0
1922,29979,0
17,24705,0
12,43060,0
994,8056,1
1172,2550,0
2301,19610,0
578,5647,0
2615,57559,1
2373,9959,1
1949,22490,0
2386,13435,1
1712,49070,0
95,45525,0
1035,45777,0
240,63577,1
1782,41489,0
1309,52946,0
1954,44542,1
2272,45866,0
506,56664,0
204,50886,0
1288,42336,0
2101,26860,1
223,39681,0
196,26233,0
519,27082,0
618,59439,0
1611,47359,0
1329,48252,1
1574,32534,0
1418,35556,0
353,53053,0
934,927,0
750,14753,1
1311,25091,1
2298,11707,0
1200,19860,0
1841,43088,0
859,45111,0
2135,63369,0
2466,52778,0
1244,57488,0
963,31476,0
212,18640,0
1401,20709,0
239,32031,0
1826,13539,0
1431,61425,0
2507,12211,0
1065,9099,0
460,27009,0
1214,8939,1
1009,63164,0
1321,16132,1
2560,12731,0
399,58040,0
298,38141,0
2404,31017,0
1466,17005,0
235,51626,1
570,32020,0
2565,3558,0
277,15576,0
